image_id,filename,filepath,true_class,model,predicted_class,confidence,failure_type,selection_reason,target_layer,gradcam_filepath
99,glioma/Te-gl_189.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_189.jpg,glioma,VGG16,notumor,0.927734375,shared_failure,All 3 models misclassified this image,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img99_shared_failure.png
99,glioma/Te-gl_189.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_189.jpg,glioma,ResNet50,notumor,0.630859375,shared_failure,All 3 models misclassified this image,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img99_shared_failure.png
99,glioma/Te-gl_189.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_189.jpg,glioma,EfficientNetB0,meningioma,0.900390625,shared_failure,All 3 models misclassified this image,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img99_shared_failure.png
30,glioma/Te-gl_126.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_126.jpg,glioma,VGG16,meningioma,0.63134765625,shared_failure,All 3 models misclassified this image,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img30_shared_failure.png
30,glioma/Te-gl_126.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_126.jpg,glioma,ResNet50,meningioma,0.96044921875,shared_failure,All 3 models misclassified this image,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img30_shared_failure.png
30,glioma/Te-gl_126.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_126.jpg,glioma,EfficientNetB0,meningioma,0.6708984375,shared_failure,All 3 models misclassified this image,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img30_shared_failure.png
262,glioma/Te-gl_335.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_335.jpg,glioma,VGG16,meningioma,1.0,shared_failure,All 3 models misclassified this image,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img262_shared_failure.png
262,glioma/Te-gl_335.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_335.jpg,glioma,ResNet50,meningioma,0.9990234375,shared_failure,All 3 models misclassified this image,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img262_shared_failure.png
262,glioma/Te-gl_335.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_335.jpg,glioma,EfficientNetB0,notumor,0.55126953125,shared_failure,All 3 models misclassified this image,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img262_shared_failure.png
238,glioma/Te-gl_313.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_313.jpg,glioma,VGG16,meningioma,0.55810546875,shared_failure,All 3 models misclassified this image,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img238_shared_failure.png
238,glioma/Te-gl_313.jpg,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_313.jpg,glioma,ResNet50,meningioma,0.8115234375,shared_failure,All 3 models misclassified this image,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img238_shared_failure.png
